"species","datasourceGUID","seedlotGUID","scarified","cs","ws","light","alternating","temperature","nseeds","ngerminated"
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",10,18,9
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",26,20,20
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",14,22,20
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",10,21,10
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",18,22,21
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",18,19,19
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",26,15,14
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",22,22,22
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",6,25,6
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",10,20,11
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",10,19,16
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",6,20,2
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",10,20,15
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",18,20,18
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",26,20,18
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",14,20,18
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",18,20,20
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",14,22,21
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",26,14,13
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",10,21,15
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",6,16,3
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",22,16,16
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",10,22,12
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",14,21,19
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",10,16,9
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",22,24,24
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",26,21,21
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",6,19,1
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",18,19,18
"Achillea clypeolata","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","E815B413-0EAF-D27A-56FC-71926B0D584D","0","0","0","1","0",21,100,100
